stars,text,publishedAtDate
1,Pelayan lu kebanyakan cat calling benerin dulu tuh tingkah laku pelayan lu. Ga usah sok sok genit ke cewe dah,2025-11-22T11:36:03.096Z
5,,
,,
1,Pelayan lu kebanyaka ngobrol hampir menu ada yang lupa utung gua ingetin,2025-11-06T14:12:15.031Z
5,,
1,"ga dikasih sambelnya , lain kali fokus",2025-10-06T14:19:05.105Z
1,Beli hari ini pas cuaca lg hujan. Rasanya bukan wedang ronde jahe tapi wedang Lada. Kalo pun pakai lada yo dikira2 to mas. Ini jg kan diminum sama anak2 dan istri yg punya asam lambung kalo lada nya sampe banyak gini yo bisa bikin sakit org,2025-06-29T13:37:08.123Z
1,Wedang rondenya berasa lada. Habis minum perut jd agak mulas.,2025-06-29T13:07:20.137Z
1,,2019-10-31T16:49:47.967Z
1,,2019-10-15T16:22:45.151Z
1,"Udh berapa kali kesini kualitasnya menurun
 Nasi kelembekan lah, babi panggang keasinan, orderan salah, terakhir deh makan di sini, pdhl dulu enak banget",2025-04-05T09:06:04.183Z
1,,2023-04-17T21:20:10.152Z
1,Ini gimna si makanan ya ada kawat besi ya untung masih nyangkut di gigi saya gimna kalo ketelen coba 17 april 2025,2025-04-19T04:44:22.305Z
1,Skip pokoknya,2023-05-22T05:26:39.500Z
5,,
1,Restoran ini punya karyawan kagak bisa kerja dimana menu telor dadar saja tanpa nasi/sayur saya harus menunggu 30menit. Mendingan cari karyawan baru yang niat kerja dan bertanggung jawab daripada piara karyawan malas dan lelet. Hadeuuuh...,2025-10-05T06:26:39.925Z
5,,
5,,
1,Lama banget,2025-07-04T06:52:26.627Z
5,,
5,,
5,,
5,,
1,,2025-04-08T08:23:45.067Z
5,,
5,,
1,"Gamasuk akal ayam mala ricebowl ny asin bgtttt. Bsa darting makan ini. Asinnya ga wajar, ga layak buat dimakan",2022-03-30T10:55:09.440Z
5,,
1,,2025-12-01T12:11:49.845Z
1,Perbaiki etika n cara kerja karyawannya ya...,2025-12-01T11:33:43.319Z
1,"Dari awal datang meja masih kotor ditunggu sampai lama tidak dibersihkan, setelah ada petugas yang membersihkan meja kami di lewatkan begitu saja, begitu di panggil petugas yang membersihkan minta kami oper bekas piring dan tisu kotor bekas orang lain, setelah nya meja kami tidak dibersihkan/di lap, akhir nya kita memutuskan pindah meja, untuk petugas pembersihan meja yg rambut nya pendek di atas bahu (saya tidak tau namanya) untuk bekerja dengan ikhlas jangan di suruh bersihin setengah hati bukan nya itu pekerjaan mba nya.",2025-11-30T13:06:49.102Z
1,"Saya berkunjung ke Solaria pada Sabtu, 29 November sekitar pukul 20.30. Sayangnya, saya mendapat pengalaman pelayanan yang kurang baik dari salah satu pelayan bernama Nisa Ulfadila.
 Saat saya memanggil, saya hanya berkata “mbak”, namun ia tidak menoleh sama sekali, tidak melihat ke saya, dan hanya mengatakan “bentar ya” dengan ekspresi yang terkesan tidak sopan. Saya paham kalau kondisi sedang ramai atau ia sedang mengantar makanan, tapi seharusnya minimal menatap customer sebentar untuk mengetahui apa kebutuhan saya, lalu menjelaskan kalau ia akan membantu setelah selesai.
 Kebutuhan saya saat itu sederhana, yaitu meminta piring kotor di meja dibersihkan. Bahkan setelah ia selesai mengantar makanan, ia tidak kembali ke meja saya untuk menanyakan kebutuhan saya. Padahal saya melihat pelayan lain bisa merespons customer dengan baik dan langsung mengarahkan staf yang bertugas membersihkan piring.
 Menurut saya, pelayanan seperti ini tidak mencerminkan standar Solaria. Semoga bisa menjadi perhatian manajemen agar kualitas pelayanan lebih konsisten.",2025-11-30T06:12:12.552Z
5,,
1,es teh manis kemanisan minta air putih sedikit aja ga boleh.,2025-11-25T04:56:23.485Z
5,,
5,,
5,,
1,Dari mulai kasir sampai server g ada senyum sapa nya sama sekali. Sebagai org yg kerja di hospitality malu bngt sih ngeliat staff kalian kerjanya kek gitu. Ajarin dlu gih SOP yang bener.,2025-11-21T05:04:03.006Z
1,Asin banget nasi gorengnya.,2025-11-20T21:12:05.799Z
1,Jam buka asal isi,2025-07-05T02:16:39.098Z
1,Resto tutup aplikasi di bka,2024-06-09T01:45:15.852Z
